;NUM_ART;variable;value;QTE_VTE;Standard_CPQ;score;score_cum;flag_alerte;flag_inv;flag_stk;score_cum_before;flag_inv_before;flag_inv_3weeks;flag_stk_cpq;valueStockSuspect;flag_match_vekia
44;80129968;2020-02-14;0.0;0.0;3.0;0.0;0.003121666666666667;1;;;0.003121666666666667;;;;;
45;70529081;2020-02-14;0.21323;0.0;7.0;0.030461428571428573;0.0031919047619048124;1;;;-0.02726952380952376;;;;;
46;80029726;2020-02-14;0.0;0.0;2.0;0.0;0.0031924999999999987;1;;;0.0031924999999999987;;;;;
47;60312910;2020-02-14;0.0008966666666666666;0.0;3.0;0.00029888888888888885;0.0031961111111111105;1;;;0.0028972222222222216;;;;;
48;61477451;2020-02-14;0.0;0.0;6.0;0.0;0.003221111111111111;1;;;0.003221111111111111;;;;;
49;66793874;2020-02-14;0.0;0.0;8.0;0.0;0.003253750000000001;1;;;0.003253750000000001;;;;;
50;80128671;2020-02-14;0.0;0.0;3.0;0.0;0.003344444444444445;1;;;0.003344444444444445;;;;;
51;67212691;2020-02-14;0.0;0.0;3.0;0.0;0.003476666666666666;1;;;0.003476666666666666;;;;;
52;70460516;2020-02-14;0.00023166666666666667;0.0;1.0;0.00023166666666666667;0.003639999999999999;1;;;0.0034083333333333327;;;;;
53;67038601;2020-02-14;0.0;0.0;2.0;0.0;0.0036575;1;;;0.0036575;;;;;
54;72135462;2020-02-14;0.0;0.0;2.0;0.0;0.0036575;1;;;0.0036575;;;;;
55;74246263;2020-02-14;0.009621666666666666;0.0;37.0;0.00026004504504504504;0.003697162162162162;1;;;0.003437117117117117;;;;;
56;62153616;2020-02-14;0.0;0.0;14.0;0.0;0.003864761904761904;1;;;0.003864761904761904;;;;;
57;73195801;2020-02-14;0.0;0.0;2.0;0.0;0.0039425;1;;;0.0039425;;;;;
58;73194891;2020-02-14;0.0;0.0;2.0;0.0;0.0039425;1;;;0.0039425;;;;;
59;68534060;2020-02-14;0.0;0.0;2.0;0.0;0.004099166666666667;1;;;0.004099166666666667;;;;;
60;68539555;2020-02-14;0.0;0.0;2.0;0.0;0.004099166666666667;1;;;0.004099166666666667;;;;;
61;68539282;2020-02-14;0.0;0.0;2.0;0.0;0.004099166666666667;1;;;0.004099166666666667;;;;;
62;68543643;2020-02-14;0.0;0.0;2.0;0.0;0.004099166666666667;1;;;0.004099166666666667;;;;;
63;68269691;2020-02-14;0.0021049999999999997;0.0;8.0;0.00026312499999999996;0.004100416666666668;1;;;0.003837291666666668;;;;;
64;70609364;2020-02-14;0.00046499999999999997;0.0;2.0;0.00023249999999999999;0.004100833333333333;1;;;0.003868333333333333;;;;;
65;68158300;2020-02-14;0.0011116666666666668;0.0;4.0;0.0002779166666666667;0.004108333333333334;1;;;0.0038304166666666673;;;;;
66;70968982;2020-02-14;0.0;0.0;2.0;0.0;0.00417;1;;;0.00417;;;;;
67;65987873;2020-02-14;7.833333333333334e-05;0.0;4.0;1.9583333333333336e-05;0.004327500000000002;1;;;0.004307916666666669;;;;;
68;70198394;2020-02-14;0.0;0.0;3.0;0.0;0.004396111111111112;1;;;0.004396111111111112;;;;;
69;68531491;2020-02-14;0.27070666666666665;0.0;2.0;0.13535333333333333;0.0044133333333327696;1;;;-0.13094000000000056;;;;;
70;69228383;2020-02-14;0.0;0.0;3.0;0.0;0.004474999999999999;1;;;0.004474999999999999;;;;;
71;80089933;2020-02-14;0.0;0.0;33.0;0.0;0.004604848484848484;1;;;0.004604848484848484;;;;;
72;65814371;2020-02-14;0.0;0.0;3.0;0.0;0.004608333333333334;1;;;0.004608333333333334;;;;;
73;80180158;2020-02-14;0.000345;0.0;1.0;0.000345;0.004636666666666665;1;;;0.004291666666666665;;;;;
74;80011113;2020-02-14;0.0;0.0;2.0;0.0;0.0046975;1;;;0.0046975;;;;;
75;82200383;2020-02-14;0.0;0.0;3.0;0.0;0.004737777777777778;1;;;0.004737777777777778;;;;;
76;75892936;2020-02-14;0.0;0.0;2.0;0.0;0.004800833333333334;1;;;0.004800833333333334;;;;;
77;84595;2020-02-14;0.0;0.0;4.0;0.0;0.0048316666666666655;1;;;0.0048316666666666655;;;;;
78;6151145;2020-02-14;0.0;0.0;8.0;0.0;0.004832083333333333;1;;;0.004832083333333333;;;;;
79;70643125;2020-02-14;0.00026333333333333336;0.0;1.0;0.00026333333333333336;0.004846666666666666;1;;;0.0045833333333333325;;;;;
80;68536370;2020-02-14;0.0;0.0;3.0;0.0;0.004931111111111111;1;;;0.004931111111111111;;;;;
81;74002110;2020-02-14;0.0;0.0;2.0;0.0;0.0049525;1;;;0.0049525;;;;;
82;68317795;2020-02-14;0.0;0.0;4.0;0.0;0.0049525;1;;;0.0049525;;;;;
